요구사항_식별자,관련_시스템_엘리먼트,관련_시스템_요구사항
SR-SoC-CNN-001,PDE-011,TR-009
SR-SoC-CNN-002,PDE-011,TR-009
SR-SoC-VDMA_CNN-001,PDE-011, PDE-014,TR-009, TR-015
SR-SoC-VDMA_CNN-002,PDE-011, PDE-014,TR-009, TR-015
SR-SoC-VDMA_H264-001,PDE-013, PDE-014,TR-015, TR-019
SR-SoC-VDMA_H264-002,PDE-013, PDE-014,TR-015, TR-019
SR-SoC-I2C-001,PDE-002, PDE-004, PDE-008,TR-012, TR-014
SR-SoC-I2C-002,PDE-002, PDE-004, PDE-008,TR-012, TR-014
SR-SoC-LIN-001,PDE-002, PDE-004, PDE-008,TR-012, TR-013
SR-SoC-LIN-002,PDE-002, PDE-004, PDE-008,TR-012, TR-013
SR-SoC-PWM-001,PDE-004, PDE-007, PDE-008,TR-012
SR-SoC-PWM-002,PDE-004, PDE-007, PDE-008,TR-012
SR-SoC-SPI-001,PDE-002, PDE-004, PDE-008,TR-016
SR-SoC-SPI-002,PDE-002, PDE-004, PDE-008,TR-016
SR-SoC-SF-001,PDE-004, PDE-008,TR-016
SR-SoC-SF-002,PDE-004, PDE-008,TR-016
SR-SoC-SF-003,PDE-004, PDE-008,TR-016
SR-SoC-ADC-001,PDE-004, PDE-007,TR-012
SR-SoC-ADC-002,PDE-004, PDE-007,TR-012
SR-SoC-CAN-001,PDE-004, PDE-008,TR-013, TR-014
SR-SoC-CAN-002,PDE-004, PDE-008,TR-013, TR-014
SR-SoC-TS-001,PDE-004, PDE-007, PDE-008,TR-010
SR-SoC-SYS-001,PDE-003,TR-010
SR-SoC-SYS-002,PDE-003,TR-010
SR-SoC-SYS-003,PDE-003,TR-010
SR-SoC-NCLD-001,PDE-001,TR-010, TR-012
SR-SoC-DMA-001,PDE-004, PDE-008,TR-012
SR-SoC-H264ENC-001,PDE-013,TR-019
SR-SoC-H264ENC-002,PDE-013,TR-019
SR-SoC-MMC-001,PDE-012,TR-017
SR-SoC-MMC-002,PDE-012,TR-017
SR-SoC-INI-001,PDE-001,TR-010
SR-SoC-OSAL-001,PDE-001,TR-010
SR-SoC-OSAL-002,PDE-001,TR-010
SR-SoC-GRAPHICS-001,PDE-009,TR-010
SR-SoC-GRAPHICS-002,PDE-009,TR-010
SR-SoC-GRAPHICS-003,PDE-009,TR-010
SR-SoC-GRAPHICS-004,PDE-009,TR-010
SR-SoC-UART-001,PDE-004, PDE-008,TR-018
SR-SoC-UART-002,PDE-004, PDE-008,TR-018
SR-SoC-BUFF-001,PDE-001,TR-010
SR-SoC-NCLDH-001,PDE-001,TR-010, TR-012
SR-SoC-PVT-001,PDE-004, PDE-007, PDE-008,TR-012
SSR-SoC-NPUM-001,PDE-001,없음
SSR-SoC-NPUM-002,PDE-001,없음
SSR-SoC-WDT-001,PDE-001, PDE-004,없음
SSR-SoC-WDT-002,PDE-001, PDE-004,없음
SSR-SoC-STM-001,PDE-001,없음
SSR-SoC-STM-002,PDE-001,없음
SSR-SoC-SE-001,PDE-004, PDE-005,없음
SSR-SoC-SE-002,PDE-004, PDE-005,없음
SSR-SoC-CC-001,PDE-005, PDE-008, PDE-012,없음
SSR-SoC-CM-001,PDE-001, PDE-003, PDE-005,없음
SSR-SoC-CM-002,PDE-001, PDE-003, PDE-005,없음
SSR-SoC-IFRB-001,PDE-001, PDE-002, PDE-004, PDE-005, PDE-008,없음
SSR-SoC-IFTO-001,PDE-001, PDE-004, PDE-005, PDE-008, PDE-012,없음
SSR-SoC-MI-001,PDE-001, PDE-005, PDE-006,없음
SSR-SoC-MI-002,PDE-001, PDE-005, PDE-006,없음
SSR-SoC-RDT-001,PDE-001, PDE-003, PDE-005,없음
SSR-SoC-RDT-002,PDE-001, PDE-003, PDE-005,없음
SSR-SoC-VM-001,PDE-001, PDE-005, PDE-007,없음
SSR-SoC-VM-002,PDE-001, PDE-005, PDE-007,없음
SSR-SoC-TM-001,PDE-001, PDE-005, PDE-007,없음
SSR-SoC-TM-002,PDE-001, PDE-005, PDE-007,없음
SSR-SoC-FM-001,PDE-004, PDE-005,없음
SSR-SoC-FM-002,PDE-004, PDE-005,없음
SSR-SoC-OIC-001,PDE-001, PDE-002, PDE-005,없음
SSR-SoC-OIC-002,PDE-002, PDE-005, PDE-011,없음
SSR-SoC-OIC-003,PDE-002, PDE-005, PDE-013,없음
SSR-SoC-OIC-004,PDE-002, PDE-005, PDE-014,없음
SSR-SoC-H264SM-001,PDE-005, PDE-013,없음
SNR-SoC-SDK-001,없음,TR-010
SNR-SoC-SDK-002,없음,TR-010
SNR-SoC-SDK-003,없음,TR-010
